ax_0_0_plot_000_x,ax_0_0_plot_000_y,ax_0_0_plot_001_x,ax_0_0_plot_001_y,ax_1_0_plot_002_x,ax_1_0_plot_002_y,ax_1_0_plot_003_x,ax_1_0_plot_003_y,ax_2_0_plot_004_x,ax_2_0_plot_004_y,ax_2_0_plot_005_x,ax_2_0_plot_005_y
0.154296875,0.31109774,0.154296875,0.3843947709685128,0.154296875,0.38486478,0.154296875,0.38486478,0.154296875,-0.6294864,0.154296875,-0.6294864
0.15625,0.35022643,0.15625,0.3885581275123641,0.15625,0.3888952,0.15625,0.38889527,0.15625,-0.44972277,0.15625,-0.44972304
0.158203125,0.37879327,0.158203125,0.3927426052816075,0.158203125,0.39294678,0.158203125,0.39294693,0.158203125,-0.26921132,0.158203125,-0.2692112
0.16015625,0.39548096,0.16015625,0.3969479182005944,0.16015625,0.39701304,0.16015625,0.39701307,0.16015625,-0.087879226,0.16015625,-0.087878995
0.162109375,0.39932498,0.162109375,0.4011737732863884,0.162109375,0.40110314,0.162109375,0.40110314,0.162109375,0.09419697,0.162109375,0.09419682
0.1640625,0.38976502,0.1640625,0.405419870646715,0.1640625,0.40522146,0.1640625,0.40522137,0.1640625,0.27708533,0.1640625,0.2770851
0.166015625,0.36668453,0.166015625,0.4096859034800082,0.166015625,0.40936622,0.166015625,0.40936634,0.166015625,0.46070993,0.166015625,0.46070993
0.16796875,0.33043662,0.16796875,0.4139715580775785,0.16796875,0.41355112,0.16796875,0.41355103,0.16796875,0.6451287,0.16796875,0.64512885
0.169921875,0.28185424,0.169921875,0.4182765138279213,0.169921875,0.41776404,0.169921875,0.41776407,0.169921875,0.8302745,0.169921875,0.8302741
0.171875,0.22224347,0.171875,0.4226004432231888,0.171875,0.42202616,0.171875,0.42202613,0.171875,1.0161878,0.171875,1.0161878
0.173828125,0.15335865,0.173828125,0.4269430118678444,0.173828125,0.42631686,0.173828125,0.42631668,0.173828125,1.2028189,0.173828125,1.2028184
0.17578125,0.07735983,0.17578125,0.4313038784895203,0.17578125,0.43066105,0.17578125,0.43066126,0.17578125,1.3901856,0.17578125,1.3901854
0.177734375,-0.0032476305,0.177734375,0.4356826949520951,0.177734375,0.43503314,0.177734375,0.43503323,0.177734375,1.5782615,0.177734375,1.5782616
0.1796875,-0.08568964,0.1796875,0.4400791062710118,0.1796875,0.43945864,0.1796875,0.4394587,0.1796875,1.7670426,0.1796875,1.7670425
