ax_0_0_plot_000_x,ax_0_0_plot_000_y,ax_1_0_plot_001_x,ax_1_0_plot_001_y,ax_1_0_plot_002_x,ax_1_0_plot_002_y,ax_2_0_plot_003_x,ax_2_0_plot_003_y,ax_2_0_plot_004_x,ax_2_0_plot_004_y
0.220703125,0.96377605,0.220703125,0.99999994,0.220703125,1.0,0.220703125,-0.26998058,0.220703125,-0.26998073
0.22265625,0.9891765,0.22265625,0.99999994,0.22265625,1.0,0.22265625,-0.14726216,0.22265625,-0.14726213
0.224609375,0.9996988,0.224609375,0.9999999,0.224609375,1.0,0.224609375,-0.02454372,0.224609375,-0.024543783
0.2265625,0.9951847,0.2265625,1.0000001,0.2265625,1.0000002,0.2265625,0.098174855,0.2265625,0.098174885
0.228515625,0.9757021,0.228515625,0.9999999,0.228515625,0.99999994,0.228515625,0.22089326,0.228515625,0.2208933
0.23046875,0.94154406,0.23046875,0.9999999,0.23046875,1.0,0.23046875,0.34361166,0.23046875,0.3436117
0.232421875,0.8932243,0.232421875,1.0,0.232421875,1.0,0.232421875,0.46633008,0.232421875,0.4663302
0.234375,0.8314696,0.234375,1.0,0.234375,1.0,0.234375,0.58904874,0.234375,0.5890487
0.236328125,0.7572088,0.236328125,0.99999994,0.236328125,0.9999999,0.236328125,0.7117671,0.236328125,0.7117671
0.23828125,0.671559,0.23828125,0.9999999,0.23828125,1.0,0.23828125,0.8344854,0.23828125,0.8344855
0.240234375,0.57580817,0.240234375,1.0,0.240234375,1.0000001,0.240234375,0.9572041,0.240234375,0.9572042
0.2421875,0.47139674,0.2421875,0.9999998,0.2421875,1.0,0.2421875,1.0799226,0.2421875,1.0799226
0.244140625,0.35989505,0.244140625,1.0,0.244140625,1.0,0.244140625,1.202641,0.244140625,1.202641
0.24609375,0.24298018,0.24609375,0.99999994,0.24609375,0.9999999,0.24609375,1.3253595,0.24609375,1.3253595
0.248046875,0.12241068,0.248046875,0.9999998,0.248046875,1.0,0.248046875,1.4480779,0.248046875,1.4480778
0.25,6.123234e-16,0.25,0.99999994,0.25,1.0,0.25,1.5707964,0.25,1.5707964
0.251953125,-0.12241068,0.251953125,0.99999994,0.251953125,0.99999994,0.251953125,1.6935147,0.251953125,1.6935148
0.25390625,-0.24298018,0.25390625,1.0,0.25390625,0.9999999,0.25390625,1.8162332,0.25390625,1.8162333
0.255859375,-0.35989505,0.255859375,1.0,0.255859375,0.99999994,0.255859375,1.9389516,0.255859375,1.9389516
0.2578125,-0.47139674,0.2578125,1.0,0.2578125,1.0,0.2578125,2.0616703,0.2578125,2.0616703
0.259765625,-0.57580817,0.259765625,1.0,0.259765625,1.0000001,0.259765625,2.1843886,0.259765625,2.1843886
0.26171875,-0.671559,0.26171875,1.0000001,0.26171875,0.99999994,0.26171875,2.3071072,0.26171875,2.3071072
